OFV10471.1_3	OFV10471.1_3
OFV10471.1_3	WP_070569063.1_3
OFV10471.1_9	OFV10471.1_9
OFV10471.1_13	OFV10471.1_13
OFV10471.1_13	WP_070569063.1_12
OFV10471.1_19	OFV10471.1_19
OFV10471.1_29	OFV10471.1_29
SDH45420.1_1	SDH45420.1_1
SDH45420.1_16	SDH45420.1_16
SDH45420.1_21	SDH45420.1_21
SDH45420.1_22	SDH45420.1_22
SDH45420.1_25	SDH45420.1_25
SDH45420.1_26	SDH45420.1_26
SDH45420.1_27	SDH45420.1_27
SDH45420.1_28	SDH45420.1_28
WP_070569063.1_1	WP_070569063.1_1
WP_070569063.1_1	OFV10471.1_1
WP_070569063.1_18	WP_070569063.1_18
WP_070569063.1_19	WP_070569063.1_19
WP_070569063.1_25	WP_070569063.1_25
WP_070569063.1_34	WP_070569063.1_34
ATP55373.1_1	ATP55373.1_1
ATP55373.1_1	WP_099437326.1_1
ATP55373.1_2	ATP55373.1_2
ATP55373.1_2	WP_099437326.1_2
ATP55373.1_4	ATP55373.1_4
ATP55373.1_4	WP_099437326.1_4
ATP55373.1_6	ATP55373.1_6
ATP55373.1_6	WP_099437326.1_6
ATP55373.1_7	ATP55373.1_7
ATP55373.1_7	WP_099437326.1_7
ATP55373.1_18	ATP55373.1_18
ATP55373.1_18	WP_099437326.1_18
ATP55373.1_22	ATP55373.1_22
ATP55373.1_22	WP_099437326.1_22
ATP55373.1_23	ATP55373.1_23
ATP55373.1_23	WP_099437326.1_23
ATP55373.1_26	ATP55373.1_26
ATP55373.1_26	WP_099437326.1_26
ATP55373.1_28	ATP55373.1_28
ATP55373.1_28	WP_099437326.1_28
ATP55373.1_35	ATP55373.1_35
ATP55373.1_35	WP_099437326.1_35
ATP55373.1_37	ATP55373.1_37
ATP55373.1_37	WP_099437326.1_37
ATP55373.1_38	ATP55373.1_38
ATP55373.1_38	WP_099437326.1_38
PST83892.1_1	PST83892.1_1
PST83892.1_1	WP_107213801.1_1
PST83892.1_6	PST83892.1_6
PST83892.1_6	WP_107213801.1_6
PST83892.1_7	PST83892.1_7
PST83892.1_7	WP_107213801.1_7
PST83892.1_7	ATP55373.1_8
PST83892.1_7	WP_099437326.1_8
PST83892.1_20	PST83892.1_20
PST83892.1_20	WP_107213801.1_20
PST83892.1_21	PST83892.1_21
PST83892.1_21	WP_107213801.1_21
PST83892.1_25	PST83892.1_25
PST83892.1_25	WP_107213801.1_25
PST83892.1_26	PST83892.1_26
PST83892.1_26	WP_107213801.1_26
PST83892.1_27	PST83892.1_27
PST83892.1_27	WP_107213801.1_27
PST83892.1_29	PST83892.1_29
PST83892.1_29	WP_107213801.1_29
PST83892.1_34	PST83892.1_34
PST83892.1_34	WP_107213801.1_34
PST83892.1_36	PST83892.1_36
PST83892.1_36	WP_107213801.1_36
